Force_1_N,Force_2_N,Force_3_N,Force_4_N
0.00,-0.01,0.01,0.01
0.00,0.00,0.00,0.01
0.01,0.00,0.01,0.01
0.01,0.00,0.01,0.01
0.01,0.00,0.00,0.01
0.00,0.00,0.01,0.01
0.01,0.00,0.01,0.01
0.01,0.00,0.01,0.01
0.01,0.00,0.01,0.01
0.01,0.00,0.01,0.01
0.01,0.01,0.01,0.01
0.00,0.00,0.01,0.01
0.00,0.00,0.01,0.01
0.01,-0.00,0.01,0.01
0.00,-0.00,0.01,0.01
0.01,-0.00,0.01,0.01
0.00,-0.00,0.01,0.01
0.01,-0.00,0.00,0.01
-0.04,0.00,0.01,0.01
1.01,0.00,0.01,0.01
1.83,-0.00,0.00,0.01
2.66,0.00,0.01,0.01
3.19,0.00,0.01,0.01
3.00,-0.00,0.01,0.01
0.06,0.00,0.01,0.00
0.01,-0.00,0.01,0.01
0.01,-0.00,0.01,0.01
0.02,-0.09,0.01,0.01
0.01,-0.04,0.01,0.01
0.01,0.19,0.01,0.01
0.00,0.47,0.00,0.01
0.01,0.89,0.01,0.01
0.01,1.29,0.01,0.01
0.01,1.54,0.01,0.01
0.00,1.67,0.01,0.01
0.01,1.56,0.01,0.02
0.01,0.36,0.01,0.01
0.01,-0.06,0.00,0.02
0.01,-0.02,0.01,0.01
0.01,-0.01,-0.02,0.01
0.01,-0.01,-0.07,0.01
0.01,-0.00,0.03,0.01
0.01,-0.00,0.01,0.01
0.01,-0.00,-0.17,0.01
0.00,-0.00,0.06,0.01
0.01,-0.01,-0.06,0.01
0.01,-0.00,0.43,0.01
0.01,-0.00,3.28,0.02
0.01,-0.01,4.31,0.01
0.01,-0.01,4.68,0.01
0.01,-0.00,4.69,0.01
0.01,-0.00,0.58,0.01
0.00,-0.01,-0.03,0.01
0.00,-0.00,-0.01,0.00
0.01,-0.01,-0.01,0.01
0.01,0.00,-0.00,0.01
0.01,-0.00,-0.00,0.01
0.01,-0.00,0.00,0.01
0.01,-0.01,0.00,-0.00
0.00,-0.01,0.00,1.57
-0.00,-0.00,0.00,4.51
0.00,-0.00,0.01,6.54
-0.00,-0.01,0.00,7.67
0.00,-0.00,0.00,7.63
-0.00,-0.00,0.00,4.26
0.00,-0.01,0.01,0.48
0.01,-0.00,0.01,0.01
0.00,-0.00,0.01,0.00
0.01,-0.00,0.00,0.01
0.00,-0.00,0.01,0.00
0.01,0.00,0.01,0.01
0.01,-0.00,0.01,0.01
0.00,-0.01,0.01,0.01
0.01,-0.01,0.01,0.01
0.00,-0.00,0.01,0.02
0.01,-0.00,0.00,0.02
0.01,-0.00,0.01,0.01
0.00,-0.00,0.01,0.01
0.00,-0.00,0.01,0.01
0.01,-0.00,0.01,0.01
0.00,-0.00,0.01,0.01
0.01,0.00,0.01,0.01
0.00,0.00,0.01,0.00
0.00,-0.00,0.01,0.01
0.00,0.01,0.01,0.01
-0.00,-0.00,0.01,0.01
0.01,-0.00,0.01,0.00
0.00,0.00,0.01,0.01
-0.00,-0.00,0.01,0.00
0.01,0.00,0.00,0.01
0.00,-0.00,0.01,0.01
0.00,-0.01,0.01,0.01
0.01,-0.00,0.01,0.01
0.01,-0.00,0.01,0.01
0.00,-0.00,0.00,0.00
0.01,-0.00,0.01,0.01
